dataset,x,y
1,32.3311102266,61.411101248
1,53.4214628807,26.1868803879
1,63.92020226,30.8321939163
1,70.2895057187,82.5336485877
1,34.1188302357,45.7345513203
1,67.6707164012,37.110947969
1,53.2591294055,97.4757710964
1,63.5149808671,25.1000785788
1,67.9805388133,80.9571652197
1,67.3724659005,29.720400203
1,15.5607495229,80.0656402858
1,71.7907676942,71.0654666627
1,70.2425464362,24.1095975542
1,64.9374355444,81.5542049945
1,62.2135245453,21.4758389969
1,67.2694004772,18.7089683725
1,40.5701970446,79.3729634752
1,74.7411813341,21.1016372041
1,71.7683189223,20.0110618423
1,76.1669198143,75.9361704048
1,65.6236574431,15.5828033531
1,50.8506336394,13.9876016304
1,33.0240700249,24.4678303872
1,39.7063261674,84.2752871038
1,45.5964849542,9.76334884943
1,42.9680469104,17.9454583961
1,52.4944067819,16.0511142003
1,46.0822757831,23.1104578154
1,74.2477082092,20.314187812
1,64.5682641863,83.6396338956
1,74.0216939058,76.1282745076
1,62.3911805626,5.62307076073
1,74.189036683,68.1335832223
1,28.2367819396,56.1395964513
1,75.7719387944,69.8292300322
1,75.8552294691,62.5170442862
1,65.9708570175,72.7448559954
1,21.7780404779,6.61662530728
1,67.7597962473,72.4212015285
1,78.6171953363,52.5752573142
1,68.5077081898,15.4569189652
1,74.8850211598,25.4166063231
1,66.4549036599,19.8366286542
1,77.3178020985,48.3983464352
1,58.9124603193,75.6677562173
1,57.617447817,8.19480060319
1,76.0882257967,59.6799300235
1,57.4660505497,1.50441817488
1,79.4283834934,45.2107942872
1,76.3565221496,10.4182411281
1,64.4050752632,78.5841760758
1,40.6350418091,73.3947503698
1,43.9498645857,75.9587156671
1,30.9962205791,71.694404938
1,68.2307689907,80.8725016628
1,72.0463894612,12.9180067349
1,46.5927679682,84.9723827774
1,49.2572183396,81.8814032306
1,42.7817612539,12.9911884302
1,65.475952195,14.2745856444
1,71.9650826544,17.7102359443
1,32.1464623358,43.4817094425
1,31.8384976954,71.8121653901
1,31.0052582572,40.682503007
1,80.4708943189,49.5021483467
1,71.9641671122,41.8742826668
1,78.0794214417,93.1333167652
1,41.6775957748,30.2012640846
1,65.953595185,31.1474060835
1,62.9344593731,31.9163906992
1,64.3737979844,28.8625834061
1,72.5093283599,39.5401302526
1,30.0522898741,96.6175423534
1,28.0033242354,46.6721919544
1,75.4012268619,88.6390766207
1,38.9800154218,87.322160691
1,65.2199135479,84.6829549336
1,73.0539899616,29.3808085571
1,34.3983616372,59.5444469033
1,43.4904501336,40.782542065
1,55.138737967,30.7257603575
1,43.6843934333,32.8230098696
1,35.9036097344,91.1118630801
1,45.3780188805,29.1692166544
1,39.7774828713,43.75581895
1,38.6644611569,33.3172384774
1,39.0440366877,84.6760108316
1,91.6399614428,79.4066030605
1,47.4881326771,85.3899333808
1,44.5902125769,22.0340116412
1,39.0896145478,70.4661940802
1,42.2293783752,19.9140684075
1,37.0003871448,60.264279248
1,39.0520864793,70.6525028457
1,37.4884147432,60.8144048511
1,69.3595594592,65.5213545959
1,43.542775926,62.4603112824
1,39.8112302539,65.3348328092
1,70.0689259404,7.59346560899
1,70.0405435824,77.1438066024
1,39.505789079,74.8516272173
1,62.5168908529,66.4847322418
1,72.1399254065,0.0151193251552
1,45.2515760666,70.0034213192
1,42.0633045627,2.33519661206
1,36.3556951539,6.0058486497
1,30.3918276596,42.75961287
1,36.4490038543,50.5462690659
1,40.467576002,60.0275120878
1,81.7246168002,6.03754484635
1,48.8231974964,76.6353305783
1,35.6205617651,57.2860155789
1,50.5839631148,71.8066161014
1,61.8564651063,71.7927431642
1,39.3237560262,59.3008196656
1,42.1856791429,66.0348978235
1,30.8469189898,37.3416401041
1,29.3462004281,42.1487418312
1,82.1105579783,1.21055166293
1,38.3020058088,60.0177857932
1,56.5841530218,70.512514809
1,33.3393742865,0.5091067352
1,78.7742390407,35.4841012146
1,27.9226442446,25.9868781844
1,71.6978651182,10.8681445111
1,74.1383313856,49.1739189791
1,32.579020066,1.80811559665
1,59.83218542,69.1525081443
1,35.0306285457,12.5366493416
1,74.3001198284,42.4770945921
1,63.2501970628,65.9524861966
1,34.1730737648,25.6936743092
1,40.9138319319,38.5590195509
1,62.8332930874,62.5108942269
1,42.4767923803,56.7312899691
1,52.0334562787,64.5666620298
1,48.9070429644,74.2877488252
1,59.8518383854,72.9583909677
1,48.9604602016,72.6295257275
1,46.8448551673,36.7917136918
1,39.9630215796,42.9449148487
1,66.704943997,32.0150954299
2,51.2038911373,83.3397766053
2,58.9744699018,85.499817612
2,51.8720726696,85.8297376348
2,48.1799307865,85.0451167372
2,41.6832004024,84.0179406019
